Tumor_Barcode	CLS_clonal_early	CLS_clonal_late	CLS_clonal_NA	CLS_subclonal
NSLC-0011-T01	0.09587599272796861	0.003348961821835231	0.16170701368290116	0.7291168309252704
NSLC-0012-T01	0.14974735875057418	0.2869392129842291	0.25861276986678916	0.2939825447864033
NSLC-0013-T01	0.005688844917140737	0.004452139500371012	0.4387830818698986	0.5342567400445214
NSLC-0014-T01	NA	NA	0.5701244813278008	0.3651452282157676
NSLC-0015-T01	0.008296107211231652	NA	0.11167836630504148	0.862582429270368
NSLC-0016-T01	NA	NA	0.2827191867852605	0.6937738246505718
NSLC-0017-T01	0.14517781355188059	0.16025171959607787	0.47051075662227426	0.1712278647738914
NSLC-0018-T01	0.10414006930512493	0.5573591099762903	0.26746306766368777	0.032828743388655844
NSLC-0020-T01	0.1562223844469205	0.08112729089022938	0.2610750374610981	0.4580435701387021
NSLC-0021-T01	0.615819209039548	0.061581920903954805	0.2748587570621469	0.007344632768361582
NSLC-0022-T01	NA	NA	0.4370629370629371	0.4874125874125874
NSLC-0023-T01	NA	NA	0.28703703703703703	0.691358024691358
NSLC-0024-T01	0.1769119769119769	0.24011544011544012	0.5353535353535354	0.03924963924963925
NSLC-0026-T01	0.2933163048105577	0.1249467858663261	0.2598978288633461	0.3033205619412516
NSLC-0027-T01	0.021284019539427775	0.00209351011863224	0.3126308443824145	0.651430565247732
NSLC-0028-T01	0.0037938665823585203	0.4789756560227632	0.1372115080619665	0.3654758141005375
NSLC-0029-T01	0.0509853552702947	0.0630988971252938	0.7776170674380763	0.052431748327608024
NSLC-0030-T01	0.05898203592814371	0.1754491017964072	0.4	0.3437125748502994
NSLC-0031-T01	0.005641748942172073	0.001763046544428773	0.68688293370945	0.24330042313117067
NSLC-0032-T01	0.024531387595924017	0.0015096238520568624	0.6578185935337778	0.2563844508743238
NSLC-0033-T01	0.048336594911937376	0.03561643835616438	0.21330724070450097	0.6829745596868885
NSLC-0034-T01	NA	NA	0.4835096453018046	0.4698195395146235
NSLC-0035-T01	NA	NA	0.4149774774774775	0.5596846846846847
NSLC-0036-T01	0.2796827021494371	0.39355168884339814	0.16632548618219037	0.14303991811668373
NSLC-0037-T01	0.0028208744710860366	4.0298206729800525e-4	0.14930485593391093	0.8357848075760629
NSLC-0038-T01	NA	NA	0.28610354223433243	0.6580381471389646
NSLC-0039-T01	0.10128012048192771	0.03557981927710843	0.510730421686747	0.2893448795180723
NSLC-0041-T01	0.43741690408357076	0.1925925925925926	0.05698005698005698	0.29192782526115857
NSLC-0042-T01	0.10833333333333334	0.1075	0.6425	0.11583333333333333
NSLC-0043-T01	0.11040486389387869	0.2098936023214039	0.5108470360646676	0.15351665054580627
NSLC-0044-T01	0.1487467018469657	0.32684696569920846	0.03726912928759894	0.4673482849604222
NSLC-0045-T01	0.048894842598794376	0.018419290020093772	0.7257200267916946	0.18921634293369055
NSLC-0046-T01	NA	NA	0.6768652710681696	0.3048845947396672
NSLC-0047-T01	0.31064657267865825	0.23821098687408848	0.40204180845892074	0.03159941662615459
NSLC-0048-T01	2.5006251562890725e-4	NA	0.052013003250812706	0.9374843710927732
NSLC-0049-T01	0.5087847730600292	0.34236212786725234	0.13787213274768179	4.880429477794046e-4
NSLC-0051-T01	0.16287878787878787	0.0025252525252525255	0.6199494949494949	0.15782828282828282
NSLC-0053-T01	0.4989648033126294	0.06086956521739131	0.22567287784679088	0.19089026915113871
NSLC-0054-T01	0.2146082337317397	0.2743691899070385	0.07051792828685259	0.3730411686586985
NSLC-0055-T01	0.22740511915269196	0.11809355692850838	0.2801412180052957	0.36888790820829653
NSLC-0057-T01	0.18837953091684434	0.27377398720682306	0.17153518123667377	0.35362473347547974
NSLC-0058-T01	0.0425	0.013409090909090909	0.7272727272727273	0.16818181818181818
NSLC-0060-T01	0.0121012101210121	0.0022002200220022	0.643014301430143	0.3162816281628163
NSLC-0061-T01	0.936095675283885	0.004590480792461948	0.048320850446967864	NA
NSLC-0062-T01	0.5635936275790023	0.2253852180726038	0.09819796291459912	0.08331156960041787
NSLC-0063-T01	0.647887323943662	0.01267605633802817	0.24929577464788732	0.06690140845070422
NSLC-0064-T01	0.2914798206278027	0.3506726457399103	0.1899103139013453	0.13273542600896862
NSLC-0065-T01	0.0026447462473195137	0.008541815582558971	0.8483202287348106	0.1332022873481058
NSLC-0066-T01	0.7110449981405726	0.19077724060989215	0.03235403495723317	0.03718854592785422
NSLC-0067-T01	0.018561979944527417	0.0034136974610625135	0.8529976530829955	0.1145722210369106
NSLC-0069-T01	0.0032537960954446853	0.046637744034707156	0.16702819956616052	0.7642805495300072
NSLC-0071-T01	0.37351945854483926	0.40080372250423013	0.16455160744500846	0.048646362098138746
NSLC-0072-T01	NA	0.0017421602787456446	0.47735191637630664	0.49825783972125437
NSLC-0073-T01	0.04619758351101635	0.01990049751243781	0.6531627576403696	0.26439232409381663
NSLC-0074-T01	0.18467153284671534	0.2569343065693431	0.2990267639902676	0.24306569343065693
NSLC-0076-T01	0.3705598181301506	0.1838590508667235	0.305484512645638	0.12077294685990338
NSLC-0077-T01	NA	NA	0.2839756592292089	0.6984448951994591
NSLC-0078-T01	0.06243576567317575	0.03365878725590956	0.8638232271325796	0.02183967112024666
